PMID	NCBI_Gene	Mentions	Resource
7807578	18858	Trembler	gene2pubmed|GNormPlus
7808216	77593	GCAP-7	GNormPlus|gene2pubmed
7808219	116547	P-8	GNormPlus
7808219	24408	NR-1	GNormPlus
7808219	24409	NR-2A	GNormPlus
7808219	24410	NR-2B	GNormPlus
7808219	24411	NR-2C	GNormPlus
7808219	2902	NR-1	GNormPlus
7808422	509933	rhodopsin	GNormPlus
7808422	6010	Rhodopsin	GNormPlus
7808432	3359	5-HT3 A	GNormPlus
7807582	4137	PHF-tau|helical filament (PHF) tau	GNormPlus
7807584	2571	glutamic acid decarboxylase|GAD	GNormPlus
7807584	9118	66 kDa neurofilament protein	GNormPlus
7807585	1950	EGF|Epidermal growth factor	GNormPlus
7807585	2670	glial acidic fibrillary protein|GFAP	GNormPlus
7807585	4803	NGF|nerve growth factor	GNormPlus
7807585	6855	synaptophysin	GNormPlus
7807588	24898	DA transporter	GNormPlus
7809179	1270	CNTF|Ciliary neurotrophic factor	GNormPlus
7809179	1271	CNTF receptor	GNormPlus
7809179	3569	interleukin-6	GNormPlus
7809179	3572	gp130	GNormPlus
7809179	3976	leukemia inhibitory factor (LIF)|LIF	GNormPlus
7808838	100294653	ET-1|Endothelin-1|endothelin-1	GNormPlus
7809022	3845	K-ras	GNormPlus
7809029	652070	scFv	GNormPlus
7809197	26284	era	GNormPlus
7808841	5741	PTH	GNormPlus
7808844	26284	era	GNormPlus
7809208	4068	sap	GNormPlus
7809049	6363	ELC	GNormPlus
7809049	79784	Myosin|myosin	GNormPlus
7809057	25	v-Abl|abl	GNormPlus
7809057	25;613	BCR/ABL	GNormPlus
7809057	3805	kir	GNormPlus
7809059	54231	Ca2	GNormPlus
7809227	241	flap|Flap	GNormPlus
7809229	23471	TRAM	GNormPlus
7808669	2244	Fibrinogen	GNormPlus
7808669	462	antithrombin III|AT III	GNormPlus
7809064	3308	hsp70	GNormPlus
7809069	245920	IP-10	RGD|GNormPlus|gene2pubmed
7809069	301300	p53	GNormPlus
7809069	353229	mob-1|Mob-1	GNormPlus
7808676	717	CO2	GNormPlus
7808895	25987	Tsk	GNormPlus
7809072	8115	TCL1	gene2pubmed|GNormPlus|MESH
7809075	2353	c-Fos	GNormPlus
7809075	3726	JunB	GNormPlus
7809075	5595	p44MAPK	GNormPlus
7809270	23471	TRAM	GNormPlus
7809078	21333	substance P	GNormPlus
7809080	2475	RAPT1	GNormPlus|gene2pubmed|MESH
7809080	2284	FKBP12	GNormPlus
7809080	2287	rapamycin-binding protein	GNormPlus
7809081	760	Ca2	GNormPlus
7808696	56925	Latexin|latexin	GNormPlus
7808698	310218	CA1	GNormPlus
7808698	54232	CA3	GNormPlus
7808701	3558	interleukin-2	GNormPlus
7808701	3569	IL-6|interleukin-6	GNormPlus
7808932	338	apolipoprotein B|Apo B	GNormPlus
7808932	6521	CH-C	GNormPlus
7808934	9615	Gda	GNormPlus
7809084	5340	plasmin	GNormPlus|MESH
7809090	2885	Grb2	MESH|HPRD|gene_interactions|BioGRID|gene2pubmed|GNormPlus
7809090	7409	Vav	GNormPlus|MESH|HPRD|gene2pubmed|BioGRID
7809093	15401	Hox-1.4|Hoxa-4	gene2pubmed|GNormPlus|MESH
7808935	9615	Gda	GNormPlus
7808945	920	CD4	GNormPlus
7809095	3124	HLA-DR2b	GNormPlus
7809095	919	CD3 zeta chain	GNormPlus
7809097	225642	gastrin-releasing peptide	GNormPlus
7809097	30052	Pen	GNormPlus
7809097	329093	Cpa6	GNormPlus
7809103	10923	PC4|positive cofactor 4	HPRD|GNormPlus|gene2pubmed
7809104	36240	engrailed	GNormPlus|gene2pubmed
7808563	9463	Pick	GNormPlus
7808591	6998	CR3/43	GNormPlus
7808730	1131	M3 muscarinic receptor	GNormPlus
7808951	2056	erythropoietin|Epo	GNormPlus
7808958	80150	L-asparaginase	GNormPlus
7809107	851567	RAD57	GNormPlus
7809107	855471	RAD50	GNormPlus
7809107	856831	RAD51	GNormPlus
7809109	3553	IL-1 beta	GNormPlus
7809109	3557	IL-1ra	GNormPlus
7809109	3569	IL-6	GNormPlus
7809109	7124	tumor necrosis factor alpha	GNormPlus
7809109	728378	beta-actin	GNormPlus
7809109	915	CD3-delta	GNormPlus
7809111	3845	K-ras 4B	GNormPlus
7809114	5077	Pax-3	GNormPlus
7808740	3882	K-32	GNormPlus
7808971	1201	JNCL	GNormPlus
7809116	22324	vav	MESH|GNormPlus
7809118	760	Ca2	GNormPlus
7809119	811	calreticulin	GNormPlus|MESH
7809120	718	C3b, CVF forms with factor B and factor D	GNormPlus|MESH
7809120	629	C3/C5 convertase	GNormPlus
7809121	6329	hSkM1	GNormPlus
7808765	5265	alpha-1-antitrypsin	GNormPlus
7808977	4683	Nijmegen breakage syndrome|NBS	GNormPlus
7809124	695	BTK|Bruton tyrosine kinase	GNormPlus|gene2pubmed|MESH
7809128	13555	E2F1	GNormPlus|MESH
7809128	21781	DP1	MESH|GNormPlus
7809128	399489	E2F1	MESH|GNormPlus
7809128	7027	DP1	MESH|GNormPlus
7809128	1869	E2F1	GNormPlus
7809128	364838	DP1	GNormPlus
7809131	1485	CTAG	GNormPlus
7809131	283459	GATC	GNormPlus
7808583	5621	prion protein|PrP	GNormPlus
7808590	310218	CA1	GNormPlus
7808767	10036;4683	leukocyte function-associated antigen and p150,95	GNormPlus
7808767	3553	interleukin-1 beta	GNormPlus
7808767	3683	LFA-1	GNormPlus
7808767	3689	Mac-1|CD18	GNormPlus
7808768	1511	cathepsin G	GNormPlus|MESH
7808768	1668	HNP-3|HNP-1 + 2 and HNP-3	GNormPlus
7808768	574045	HNP-1	GNormPlus
7808770	287469	rnu	GNormPlus
7809134	11689	5-lipoxygenase	gene2pubmed|GNormPlus|RGD
7809135	12501	CD3	GNormPlus
7809135	12504	CD4	GNormPlus
7809135	12505	Pgp-1	GNormPlus
7809135	14130	Fc gamma RII	GNormPlus
7809135	14131	Fc gamma RIII	GNormPlus
7809135	15130	beta 2	GNormPlus
7809135	21838	Thy-1	GNormPlus
7809137	4908	neurotrophin 3	GNormPlus
7809137	4916	TrkC|trkC	GNormPlus
7809147	654512	ftz|fushi tarazu	GNormPlus|gene2pubmed
7809147	40834	ftz|fushi tarazu	GNormPlus
7808598	314322	Fos|proto-oncogene c-fos	GNormPlus
7808601	2244	fibrinogen	GNormPlus
7808601	462	antithrombin III	GNormPlus
7808601	5345	alpha 2-antiplasmin	GNormPlus
7808787	116562	IL-2	GNormPlus
7808792	4830	Nm23|nm23	MESH|GNormPlus
7809150	100505382	alpha-L-iduronidase	GNormPlus
7809150	3425	alpha-L-iduronidase	GNormPlus
7809153	480	ATP1AL2	GNormPlus|gene2pubmed
7809153	24212	Na+,K(+)-ATPase alpha subunit	GNormPlus
7808607	5456	brain; and 4	GNormPlus
7808793	7157	p53	GNormPlus
7809009	24379	GAD-67	GNormPlus
7809009	24380	GAD-65	GNormPlus
7809011	24677	pancreatic polypeptide	GNormPlus
7809011	24797	somatostatin	GNormPlus
7809013	25298	CCK	GNormPlus
7809156	3565	interleukin 4	GNormPlus
7809156	4609	c-Myc	GNormPlus
7809156	596	Bcl-2	GNormPlus
7809156	7157	p53	GNormPlus
7809159	42289	Cdi	GNormPlus
7809162	48	iron responsive-element binding protein|IRE-BP	GNormPlus
7809163	19064	pancreatic polypeptide	GNormPlus
7809166	7066	TPO|Thrombopoietin|thrombopoietin	gene2pubmed|GNormPlus
7809166	16187	interleukin 3	GNormPlus
7809166	17480	c-mpl	GNormPlus
7809166	2056	EPO|erythropoietin	GNormPlus
7809018	988	CDC < 5	GNormPlus
7809021	111463	H2T	GNormPlus
7809021	11657	serum albumin	GNormPlus
7809021	2922	Bombesin	GNormPlus
7808828	966	min/1	GNormPlus
7809592	3559	IL-2R	GNormPlus
7809597	32762	TAFII40|dTAFII40	MESH|GNormPlus
7809597	6872	TAFII250	GNormPlus|gene2pubmed
7809597	6908	TBP|TFIID|transcription factor IID	GNormPlus|MESH
7809597	7157	p53	HPRD|GNormPlus|gene2pubmed
7809597	37476	TATA binding protein	GNormPlus
7809597	40134	TAFII60|dTAFII60	GNormPlus
7809600	1029	p16|MTS1	GNormPlus
7809611	7372	Orotidine 5'-phosphate decarboxylase	GNormPlus|MESH
7809612	1958	Zif268	GNormPlus
7809612	5451	Oct-1	GNormPlus
7809618	4905	NSF	GNormPlus
7810092	5187	per 1	GNormPlus
7809408	5252	PCL	GNormPlus
7809627	854090	HAL2	gene2pubmed|GNormPlus
7809627	852648	nucleotidase	GNormPlus
7809628	966	min-1	GNormPlus
7809629	6890	TAP1	GNormPlus|MESH
7809629	6891	TAP2	GNormPlus|MESH
7809630	14175	FGF-4|Fgf4	gene2pubmed|GNormPlus
7809631	94201	CDK4|cyclin-dependent kinase 4	GNormPlus|MESH
7809631	24577	Myc	GNormPlus
7809631	25163	p16INK4	GNormPlus
7809631	25244	E1a	GNormPlus
7809903	729	FH-2 and C-6	GNormPlus
7809905	380795	IgG3	GNormPlus
7809905	668478	IgG2a	GNormPlus
7810101	3630	Insulin|insulin	GNormPlus
7809420	590	cholinesterase	GNormPlus
7809636	1636	ACE	GNormPlus
7809906	14961	I-A beta and I-E	GNormPlus|gene2pubmed
7809906	110674	Idd-1	GNormPlus
7809907	12504	CD4	GNormPlus
7809908	920	CD4	GNormPlus
7809910	3502	IgG3	GNormPlus
7810125	56654	cab	GNormPlus
7809432	7200	Thyrotropin Releasing Hormone	GNormPlus
7809924	25721	aspartate aminotransferase	GNormPlus
7809928	7056	TM|thrombomodulin	GNormPlus|MESH
7809928	5054	plasminogen activator inhibitor 1|PAI-1	GNormPlus
7809928	5327	t-PA|tissue-type plasminogen activator	GNormPlus
7809928	7450	von Willebrand factor|vWF	GNormPlus
7809437	6462	sex hormone binding globulin	GNormPlus
7809663	5091	PCB	GNormPlus
7809949	301	lipocortin 1	GNormPlus|MESH
7809950	155971	gp120	GNormPlus
7810152	3064	IT 15	GNormPlus
7809954	1909	ETA	GNormPlus
7809954	581	Bax	GNormPlus
7809460	920	CD4+/CD8+ ratio (1.1	GNormPlus
7809460	925	CD8	GNormPlus
7809491	64127	Blau	GNormPlus
7809497	1636	ACE	GNormPlus
7809497	567	beta 2-microglobulin	GNormPlus
7809989	112483	SAT2	GNormPlus
7809501	1636	ACE	GNormPlus
7809503	5925	RB1	GNormPlus
7809505	4613	N-myc	GNormPlus
7809505	4914	TRK-A	GNormPlus
7809506	440926	p13	GNormPlus
7809506	7157	p53	GNormPlus
7809506	7490	WT-1	GNormPlus
7809774	3630	insulin	GNormPlus
7809792	590	cholinesterase	GNormPlus
7810011	57824	HB-1 and 40	GNormPlus
7810022	2244	fibrinogen	GNormPlus
7809817	8737	rip	GNormPlus
7809527	5972	renin	GNormPlus
7809822	10382	alpha v beta 5|beta 5	GNormPlus
7809827	4069	lysozyme	GNormPlus
7809834	5741	PTH|parathyroid hormone	GNormPlus
7809834	5744	PTHrP|PTH-related protein	GNormPlus
7809835	403474	catalase	GNormPlus
7809835	483028	xanthine dehydrogenase	GNormPlus
7809839	4055	CD18	GNormPlus
7809839	7124	tumor necrosis factor	GNormPlus
7809841	100009455	intercellular adhesion molecule-1|ICAM-1	GNormPlus
7810071	6462	ABP|SHBG|sex hormone-binding globulin	MESH|GNormPlus
7810070	1589	Steroid 21-hydroxylase	GNormPlus
7810070	51478	17 beta-hydroxysteroid dehydrogenase	GNormPlus
7809375	7018	Transferrin	GNormPlus|MESH
7809384	3553	IL-1 beta|interleukin 1-beta	GNormPlus
7809384	7124	TNF alpha|tumor necrosis factor alpha	GNormPlus
7810074	3817	hKLK2	GNormPlus
7809574	29240	DNA polymerase beta	GNormPlus
7810085	7450	von Willebrand factor	GNormPlus
7810749	24498	IL-6	GNormPlus
7810749	24835	TNF-alpha|tumor necrosis factor-alpha|Tumor necrosis factor-alpha	GNormPlus
7810754	117263	S-4	GNormPlus
7810754	24221	vasopressin	GNormPlus
7810657	1950	epidermal growth factor	GNormPlus
7810657	3552	IL-1|interleukin-1	GNormPlus
7810657	3553	IL-1 beta	GNormPlus
7810657	3554	IL-1R|IL-1 receptor	GNormPlus
7810659	847	CAT|catalase	MESH|GNormPlus
7810659	26503	aspartate aminotransferase|AST	GNormPlus
7810659	7124	tumor necrosis factor|TNF	GNormPlus
7810659	7124;26503	TNF and AST	GNormPlus
7810660	6476	Sucrase isomaltase|sucrase isomaltase	GNormPlus
7810663	24609	ornithine decarboxylase	GNormPlus
7810663	25298	CCK|cholecystokinin	GNormPlus
7810758	25298	Cholecystokinin|CCK|cholecystokinin	GNormPlus
7810760	717	CO2	GNormPlus
7810664	24443	histidine decarboxylase|HDC	GNormPlus
7810664	24494	Interleukin-1 beta|IL-1 beta	GNormPlus
7810664	25320	Gastrin|gastrin	GNormPlus
7810667	3383	intercellular adhesion molecule-1|ICAM-1	GNormPlus
7810667	3553	IL-1 beta	GNormPlus
7810667	3576	Interleukin-8|IL-8	GNormPlus
7810667	3689	CD18	GNormPlus
7810667	6402	L-selectin	GNormPlus
7810763	9173	t1/2 = 93|t1/2 = 29|t1/2 = 65	GNormPlus
7810671	2335	fibronectin	GNormPlus
7810671	24773	Surfactant protein A|surfactant protein A|SP-A	GNormPlus
7810675	24773	Surfactant protein A|surfactant protein A|SP-A	GNormPlus
7810675	24835	TNF-alpha	GNormPlus
7810675	25712	interferon-gamma	GNormPlus
7810675	3458;3552;3569	interleukins 1 alpha, 1 beta, and 6, and interferon-gamma	GNormPlus
7810675	653509	SP-A	GNormPlus
7810675	7124	TNF-alpha|tumor necrosis factor-alpha	GNormPlus
7810769	2922	bombesin|GRP|Bombesin|gastrin-releasing peptide|BN	GNormPlus
7810769	885	CCK	GNormPlus
7810772	24602	Atrial natriuretic peptide|atrial natriuretic peptide	GNormPlus
7810360	1636	ACE|angiotensin-converting enzyme	GNormPlus
7810560	2006	SVAS	GNormPlus
7810677	24827	transforming growth factor-alpha|TGF-alpha|Transforming growth factor-alpha	GNormPlus
7810679	100009390	acetylcholinesterase	GNormPlus
7810679	100338759	Cholinesterase|cholinesterase	GNormPlus
7810683	6347	monocyte chemoattractant protein-1	GNormPlus
7810683	728	C5a	GNormPlus
7810378	717	CO2	GNormPlus
7810565	2691	GHRH	GNormPlus
7810569	2558	GABRA5	GNormPlus
7810569	2562	GABRB3	GNormPlus
7810569	4948	D15S12	GNormPlus
7810774	24221	vasopressin	GNormPlus
7810775	24221	VP|vasopressin	GNormPlus
7810396	102657198	SCC	GNormPlus
7810579	4692	PWCR|Prader-Willi chromosome region	GNormPlus
7810585	1815	DRD4|dopamine D4 receptor	MESH|GNormPlus
7810586	1814	DRD3	GNormPlus|MESH
7810690	24179	Angiotensin II|ANG II	GNormPlus
7810691	25021	CD11b	GNormPlus
7810691	309684	CD18	GNormPlus
7810777	610169	C-type natriuretic peptide|CNP	GNormPlus
7810404	292	T-2	GNormPlus
7810590	348	apolipoprotein E|Apolipoprotein E, type epsilon 4 allele (ApoE epsilon 4|ApoE	GNormPlus
7810592	551	antidiuretic hormone|Antidiuretic hormone|ADH	GNormPlus
7810695	24179	angiotensin II|ANG II	GNormPlus
7810695	24715	renin	GNormPlus
7810174	1565	cytochrome P4502D6|CYP2D6	GNormPlus
7810595	2147	thrombin	GNormPlus
7810699	24249	calbindin D9k	GNormPlus
7810699	25279	25-hydroxyvitamin D3-24-hydroxylase	GNormPlus
7810700	24715	renin	GNormPlus
7810701	21809	TGF-beta 3	GNormPlus
7810701	59086	TGF-beta|TGF-beta 1	GNormPlus
7810701	81809	TGF-beta 2	GNormPlus
7810421	4070	gp50	GNormPlus
7810604	2357	FMLP	GNormPlus
7810609	477928	Ca2	GNormPlus
7810200	2006	elastin	MESH|GNormPlus
7810442	100144442	F-2	GNormPlus
7810610	5335	PLC-gamma 1|phospholipase C-gamma 1	GNormPlus
7810613	100355731	Dystrophin|dystrophin	GNormPlus
7810707	100009156	CA II	GNormPlus
7810707	100009226	CA IV	GNormPlus
7810231	551	vasopressin	GNormPlus
7810236	7421	VDR	GNormPlus
7810457	7432	VIP	GNormPlus
7810463	8650	numb	GNormPlus
7810622	24482	insulin-like growth factor I|IGF-I	GNormPlus
7810622	25295	osteocalcin	GNormPlus
7810622	25718	IGF-IR|IGF-I receptor	GNormPlus
7810623	24179	angiotensin II	GNormPlus
7810623	24180	AT1A	GNormPlus
7810623	81638	angiotensin II type 1 receptor|AT1B	GNormPlus
7810625	5972	renin	MESH|GNormPlus
7810625	1906	Endothelin-1|Endothelin (ET)-1	GNormPlus
7810625	5617	prolactin	GNormPlus
7810631	24539	LPL|lipoprotein lipase	GNormPlus
7810720	108348108	heat shock protein 70|HSP 70	GNormPlus
7810726	100009270	endothelin-1	GNormPlus
7810726	100009477	ET-receptor subtype B|ETB	GNormPlus
7810726	100339381	PCNA|proliferating cell nuclear antigen	GNormPlus
7810727	100294531	tropoelastin	GNormPlus
7810727	101111152	Elastin|elastin	GNormPlus
7810270	3458	interferon-gamma	GNormPlus
7810270	3552	interleukin-1 and interleukin-1	GNormPlus
7810273	3552;7124	interleukin-1, tumor necrosis factor	GNormPlus
7810273	3569	interleukin-6	GNormPlus
7810273	3576	interleukin-8	GNormPlus
7810273	3586	interleukin-10	GNormPlus
7810274	3569	IL-6|interleukin-6	GNormPlus
7810274	3576	Interleukin-8|IL-8|interleukin-8	GNormPlus
7810274	7124	tumour necrosis factor|TNF	GNormPlus
7810633	966	min-1	GNormPlus
7810637	966	min-1	GNormPlus
7810729	1906	endothelin-1	GNormPlus
7810730	183	angiotensin II	GNormPlus
7810730	5972	renin	GNormPlus
7810294	12307	calbindin D-28k	GNormPlus
7810294	19293	parvalbumin	GNormPlus
7810295	1392	corticotropin-releasing hormone	GNormPlus
7810295	5443	beta-endorphin|met-enkephalin	GNormPlus
7810296	64362	desmin	GNormPlus
7810520	3105;3106	HLA-A, -B and -DR	GNormPlus
7810640	5972	Renin|renin	MESH|GNormPlus
7810642	25351	GLUT-2	GNormPlus
7810643	24539	LPL|lipoprotein lipase	GNormPlus
7810643	25675	HMG-CoA) reductase	GNormPlus
7810643	50671	fatty acid synthase|FAS	GNormPlus
7810734	609986	myeloperoxidase	GNormPlus
7810654	24547	MBP|myelin basic protein	GNormPlus
7810654	24827	transforming growth factor-alpha|TGF-alpha	GNormPlus
7810653	108348113	EGF|Epidermal growth factor	GNormPlus
7810327	1113	Chromogranin A	MESH|GNormPlus
7810329	1113	CGA|chromogranin A	MESH|GNormPlus
7810329	1906	endothelin-1	GNormPlus
7810532	2056	erythropoietin	GNormPlus
7810534	24221	vasopressin|AVP	GNormPlus
7811341	25298	CCK	GNormPlus
7811546	920	CD4	GNormPlus
7811548	3569	IL-6|interleukin 6	GNormPlus
7811548	3570	IL-6 receptors|IL-6R|IL-6R alpha	GNormPlus
7811548	3572	gp130|IL-6R beta	GNormPlus
7811562	100009588	PAI-1	GNormPlus
7810962	6271	S-100	GNormPlus
7811156	399543	VWF	GNormPlus
7811156	7450	von Willebrand factor|Von Willebrand factor|VWF	GNormPlus
7811368	1351	VIII	GNormPlus
7811369	9129	RP18	GNormPlus
7811566	5327	tissue-type plasminogen activator	GNormPlus
7811569	415796	bean	GNormPlus
7811385	13645	epidermal growth factor	GNormPlus
7811385	15234	HGF	GNormPlus
7811385	16000	insulin-like growth factor I|IGF-I	GNormPlus
7811385	17295	HGF receptor|c-met	GNormPlus
7811385	20683	SP1	GNormPlus
7811387	291671	mtHSP70	gene2pubmed|GNormPlus
7811387	24468	HSC70	GNormPlus
7811387	25617	BiP	GNormPlus
7811387	3313	PBP74	GNormPlus
7811387	853503	SSC1p	GNormPlus
7811189	5177	pregnancy-induced hypertension|PIH	GNormPlus
7811406	7124	tumour necrosis factor|TNF	GNormPlus
7811408	1437	CSF	GNormPlus
7811422	4763	Neurofibromatosis type 1|neurofibromatosis type 1|NF1	GNormPlus
7811436	183	angiotensin II|AII	GNormPlus
7810797	81818	Vimentin|vimentin	GNormPlus
7810806	3502	IgG3	GNormPlus
7811207	1423	P1 or WR|P1 and WR	GNormPlus
7811438	338	apo-B	GNormPlus
7811438	966	min/1	GNormPlus
7811440	7018	transferrin	GNormPlus
7810812	185	at 1.81	GNormPlus
7810818	6717	Sri	GNormPlus
7811221	2908	glucocorticoid receptor	GNormPlus
7811224	57733	CBG	GNormPlus
7811224	6462	SHBG	GNormPlus
7811224	6906	TBG	GNormPlus
7811224	920	CD4	GNormPlus
7811448	4397	MS 1 and g3	GNormPlus
7811453	123228	DEN-1	GNormPlus
7811466	25350	SP-D|pulmonary surfactant protein D|surfactant protein D	GNormPlus
7811065	7693072	umuC	GNormPlus
7811225	551	Vasopressin|vasopressin	GNormPlus
7811230	24207	apo CIII	GNormPlus|gene2pubmed|RGD
7811230	25081	apoAI	GNormPlus
7811230	25081;24207	apolipoprotein AI and CIII	GNormPlus
7811231	12981	GM-CSF	GNormPlus|gene2pubmed
7811231	1437	GM-CSF	GNormPlus
7811231	20683	Sp1	GNormPlus
7811231	28881;23545	A1, A2, B	GNormPlus
7811231	4790	NF-kappa B	GNormPlus
7811231	6667	Sp1	GNormPlus
7811232	2736	THP-1	GNormPlus
7811232	5979	ret	GNormPlus
7811235	396512	proto-oncogene c-fos	GNormPlus
7811237	213	albumin	GNormPlus
7811237	2187	Fab	GNormPlus
7811237	5333	phospholipase C-delta 1|PLC-delta 1	GNormPlus
7811467	24482	IGF-1|insulin-like growth factor-1	GNormPlus
7811468	5029	P2u	GNormPlus
7811473	653509	SP-A|SP-A1|pulmonary surfactant protein A	GNormPlus|MESH
7811473	729238	SP-A2	MESH|GNormPlus
7811473	51151	1A1	GNormPlus
7811474	100009044	Surfactant protein A|surfactant protein A|SP-A	GNormPlus
7811243	4306	mineralocorticoid receptor	GNormPlus
7811244	7432	VIP	GNormPlus
7811252	3156	HMG-CoA reductase	GNormPlus
7811254	25108	vasopressin V2 receptor	GNormPlus
7810882	1270	CNTF|ciliary neurotrophic factor	gene_interactions|gene2pubmed|GNormPlus|BioGRID|HPRD
7810882	25707	CNTF	GNormPlus
7810882	4827	gp130	GNormPlus
7811260	1551	CYP3A7	MESH|GNormPlus|gene2pubmed
7811260	1577	CYP3A5	gene2pubmed|GNormPlus
7811260	1576	CYP3A4	GNormPlus
7811262	4313	MMP2	MESH|GNormPlus
7811262	351	A beta	GNormPlus
7811264	171039	Rabphilin-3A	GNormPlus
7811264	25531	Rab3A	GNormPlus
7811265	5695	proteasome subunit (Z)	HPRD|gene2pubmed|GNormPlus
7811265	5699	MECL-1	GNormPlus
7811270	2170	Heart fatty acid binding protein|H-FABP	GNormPlus
7811270	3725	c-jun	GNormPlus
7811274	81743	PDE2|cGSPDE|cyclic GMP Stimulated Phosphodiesterase|cyclic GMP stimulated phosphodiesterase	GNormPlus|gene2pubmed|RGD
7811274	281971	cGSPDE	GNormPlus
7810900	27241	C-18	GNormPlus
7810904	5091	PCB	GNormPlus
7811087	717	CO2	GNormPlus
7811087	728505	SW2	GNormPlus
7811088	717	CO2	GNormPlus
7811094	26959	HBP1	GNormPlus
7811094	5621	Prp	GNormPlus
7811277	9230	H-YPT3	gene2pubmed|GNormPlus
7811277	5861	rab1A|YPT1	GNormPlus
7811277	81876	rab1B	GNormPlus
7811278	24516	AP1	GNormPlus
7811278	24790	SP1	GNormPlus
7811278	3726	AP1	GNormPlus
7811278	6755	somatostatin receptor 5	GNormPlus
7811278	7020	AP2	GNormPlus
7811278	79451	AP2	GNormPlus
7811279	3643	insulin receptor	GNormPlus
7811281	16153	IL-10|interleukin-10	GNormPlus|gene2pubmed
7811282	419953	ACE|angiotensin converting enzyme	gene2pubmed|GNormPlus
7811282	11421	ACE|angiotensin converting enzyme	GNormPlus
7811282	1636	ACE	GNormPlus
7811286	650	BMP-2	GNormPlus|HPRD|gene_interactions|gene2pubmed
7811286	652	BMP-4	gene_interactions|gene2pubmed|GNormPlus|HPRD
7811286	7040	TGF-beta	GNormPlus
7811291	7299	Tyrosinase|tyrosinase	MESH|GNormPlus
7811291	4763	Neurofibromatosis type 1|neurofibromin|NF1	GNormPlus
7811292	7124	TNF)-alpha|tumor necrosis factor|Tumor necrosis factor alpha	GNormPlus
7811293	5451	Oct-1	MESH|GNormPlus
7811293	5452	Oct-2	MESH|GNormPlus
7811293	853724	Oct1.2|Oct-1	GNormPlus
7811293	855828	GAL4	GNormPlus
7810948	2520	gastrin	GNormPlus
7810967	24148	Tom	GNormPlus
7811304	4353	myeloperoxidase|MPO	GNormPlus
7811320	3845	K-ras	GNormPlus
7811537	920	CD4	GNormPlus
7811537	925	CD8	GNormPlus
7811538	920	CD4	GNormPlus
7811539	71	ACTG	GNormPlus
7811539	920	CD4	GNormPlus
7811540	71	ACTG	GNormPlus
7811325	20468888	CRP|cAMP receptor protein	GNormPlus
7811541	71	ACTG	GNormPlus
7811541	920	CD4	GNormPlus
7811542	920	CD4	GNormPlus
7811543	920	CD4	GNormPlus
7811709	847	catalase	GNormPlus
7811713	1435	colony stimulating factor-1|CSF-1	GNormPlus
7811716	335	apo A-I	MESH|GNormPlus
7811716	3931	LCAT|lecithin:cholesterol acyltransferase	MESH|GNormPlus
7811716	336	apo A-II	GNormPlus
7811716	53369	HDL3	GNormPlus
7811716	57338	HDL2	GNormPlus
7811970	106444749	napin	MESH|GNormPlus
7811972	824985	MYA3	gene2pubmed|GNormPlus
7811972	834412	MYA2	GNormPlus|gene2pubmed
7811972	821534	ATM1	GNormPlus
7811972	829456	Myosin|myosin	GNormPlus
7811972	835516	ATM2	GNormPlus
7811972	838053	PCR1	GNormPlus
7811972	838333	MYA1	GNormPlus
7811972	843191	PCR11	GNormPlus
7812166	105243590	IgG1	GNormPlus
7812166	16189	IL-4	GNormPlus
7812168	3497	IGHE	GNormPlus
7812168	3498	IGHEP1	GNormPlus
7812168	3499	IGHEP2	GNormPlus
7812172	6741	SS-B	GNormPlus
7812364	16183	interleukin-2|IL-2	GNormPlus
7812380	7939	Lap	GNormPlus
7812485	5371	PML	GNormPlus
7811727	1423	P1 and P2	GNormPlus
7811727	2147	thrombin	GNormPlus
7811729	282604	adrenodoxin reductase	GNormPlus|gene2pubmed
7811729	104968582	cytochrome c	GNormPlus
7811729	505554	neuraminidase	GNormPlus
7811730	266717	rK9	GNormPlus
7811730	300250	rK1	GNormPlus
7811730	450225	rK10	GNormPlus
7811733	231	aldose reductase	GNormPlus
7811733	24192	aldose reductase|AR|Aldose reductase	GNormPlus
7811740	246	15-lipoxygenase	GNormPlus
7811745	4023	LPL|lipoprotein lipase	MESH|GNormPlus
7811745	7841	glucosidase I	GNormPlus
7811990	6693	CD43	GNormPlus
7811991	12229	Btk	GNormPlus
7811991	16187	interleukin-3|IL-3	GNormPlus
7811991	16428	Itk|Tsk	GNormPlus
7811991	20416	Shc	GNormPlus
7811991	21682	tec|Tec	GNormPlus
7812181	2922	bombesin|GRP|gastrin-releasing peptide	GNormPlus
7812182	17494186	BRLF1	GNormPlus|MESH
7812182	1423	P1 and P2 c-myc	GNormPlus
7812182	4609	c-myc	GNormPlus
7811747	53947	Gb3|alpha 1-->4 galactosyltransferase	GNormPlus
7811747	84557	Lc3	GNormPlus
7811764	142	Poly(ADP-ribose) polymerase	GNormPlus
7811995	2357	fMLP	GNormPlus
7811995	4057	neutrophil lactoferrin	GNormPlus
7811995	7124	TNF-alpha|tumor necrosis factor-alpha	GNormPlus
7811997	1401	C-reactive protein|CRP	GNormPlus|MESH
7811997	3439	IFN alpha	GNormPlus
7811997	3552	interleukin (IL)-1 alpha	GNormPlus
7811997	7124	TNF alpha|tumor necrosis factor|TNF	GNormPlus
7811997	7132	p55	GNormPlus
7811998	567	beta 2-microglobulin|beta 2M	MESH|GNormPlus
7811998	952	CD38	GNormPlus
